season,week,avg_points,pass_rate,avg_plays,time_index
2010,1,36.5625,0.5869565217391305,175.0625,0
2010,2,41.4375,0.5612968591691996,172.3125,1
2010,3,43.375,0.5826131164209456,175.1875,2
2010,4,41.285714285714285,0.5781796966161027,171.71428571428572,3
2010,5,45.57142857142857,0.5928853754940712,180.71428571428572,4
2010,6,43.0,0.5685506435366536,179.64285714285714,5
2010,7,52.642857142857146,0.5846066779852858,178.85714285714286,6
2010,8,41.69230769230769,0.5875978326309452,179.46153846153845,7
2010,9,45.92307692307692,0.5706354102405923,176.6153846153846,8
2010,10,51.92857142857143,0.5971459934138309,184.64285714285714,9
2010,11,45.5625,0.5907953976988495,174.625,10
2010,12,45.4375,0.5774647887323944,175.1875,11
2010,13,42.1875,0.543724279835391,170.5,12
2010,14,40.875,0.5589123867069486,172.125,13
2010,15,48.6875,0.5654370894391106,176.0,14
2010,16,47.0,0.5602440264361973,173.875,15
2010,17,37.75,0.5717821782178217,174.125,16
2010,18,46.0,0.5637450199203188,172.0,17
2010,19,58.0,0.6,176.25,18
2010,20,39.0,0.5247933884297521,170.5,19
2010,21,56.0,0.7033898305084746,167.0,20
2011,1,47.0,0.599899849774662,177.6875,21
2011,2,46.875,0.5870221327967807,175.25,22
2011,3,40.9375,0.6019704433497537,179.4375,23
2011,4,47.4375,0.5903495814869523,178.375,24
2011,5,50.0,0.5744941753525444,178.6153846153846,25
2011,6,40.15384615384615,0.5835884874464177,176.23076923076923,26
2011,7,41.61538461538461,0.5504019789734076,175.76923076923077,27
2011,8,42.0,0.5976190476190476,182.15384615384616,28
2011,9,44.285714285714285,0.5706926159129937,177.42857142857142,29
2011,10,40.0625,0.5649122807017544,175.1875,30
2011,11,43.714285714285715,0.5718341851220897,177.5,31
2011,12,41.5625,0.5594823295171727,178.5,32
2011,13,44.5,0.5531702446330504,176.75,33
2011,14,45.625,0.5738025415444771,179.6875,34
2011,15,46.1875,0.5612968591691996,174.875,35
2011,16,43.9375,0.5691621219633118,177.4375,36
2011,17,47.4375,0.5879470847623713,178.0625,37
2011,18,48.0,0.5948103792415169,172.75,38
2011,19,53.25,0.6096654275092936,184.25,39
2011,20,40.0,0.5985663082437276,194.5,40
2011,21,38.0,0.6439393939393939,176.0,41
2012,1,49.4375,0.602112676056338,176.5625,42
2012,2,47.8125,0.5667166416791605,178.4375,43
2012,3,45.6875,0.5912754860123282,185.8125,44
2012,4,46.6,0.6007250129466598,180.06666666666666,45
2012,5,40.357142857142854,0.5815523059617548,177.28571428571428,46
2012,6,48.714285714285715,0.5907590759075908,183.5,47
2012,7,43.84615384615385,0.5878419452887538,177.92307692307693,48
2012,8,41.5,0.5964325529542921,177.42857142857142,49
2012,9,46.42857142857143,0.575792507204611,176.57142857142858,50
2012,10,48.57142857142857,0.5789775990809879,176.92857142857142,51
2012,11,46.714285714285715,0.5784259768849752,184.85714285714286,52
2012,12,46.3125,0.5779411764705882,179.75,53
2012,13,41.6875,0.5730228044638525,181.3125,54
2012,14,46.5625,0.582716049382716,179.75,55
2012,15,44.6875,0.5776892430278885,177.375,56
2012,16,42.375,0.5965686274509804,177.1875,57
2012,17,46.0625,0.5423037716615698,172.75,58
2012,18,34.25,0.5490196078431373,172.75,59
2012,19,69.0,0.5755395683453237,194.0,60
2012,20,46.5,0.5783582089552238,178.0,61
2012,21,65.0,0.5114503816793893,182.0,62
2013,1,46.375,0.6132945172246482,181.3125,63
2013,2,43.0,0.6126727012863268,184.5,64
2013,3,46.3125,0.5946859903381643,180.375,65
2013,4,47.266666666666666,0.6108829568788501,184.93333333333334,66
2013,5,49.0,0.5931344963421497,180.14285714285714,67
2013,6,43.8,0.578563995837669,179.6,68
2013,7,47.0,0.5965996908809892,183.86666666666667,69
2013,8,47.38461538461539,0.5878787878787879,177.6153846153846,70
2013,9,51.30769230769231,0.5820721769499418,184.30769230769232,71
2013,10,44.642857142857146,0.5677966101694916,175.85714285714286,72
2013,11,49.666666666666664,0.5907436297451898,182.8,73
2013,12,44.285714285714285,0.59375,184.14285714285714,74
2013,13,45.5,0.5714978187106156,179.6875,75
2013,14,53.6875,0.5826771653543307,179.125,76
2013,15,52.75,0.5949612403100775,181.875,77
2013,16,43.125,0.5653465346534653,176.5,78
2013,17,41.4375,0.5900834560628375,175.375,79
2013,18,54.75,0.5580952380952381,180.75,80
2013,19,44.25,0.5270541082164328,172.0,81
2013,20,41.0,0.5872340425531914,164.5,82
2013,21,51.0,0.6416666666666667,163.0,83
2014,1,44.75,0.5998047828208882,181.5625,84
2014,2,42.5625,0.5702930948832589,177.0,85
2014,3,46.5,0.575037147102526,178.0625,86
2014,4,52.07692307692308,0.5886998784933172,177.46153846153845,87
2014,5,47.06666666666667,0.5915712799167534,181.73333333333332,88
2014,6,48.4,0.5978316985028395,185.13333333333333,89
2014,7,43.666666666666664,0.5821138211382114,174.86666666666667,90
2014,8,49.333333333333336,0.5990615224191866,179.8,91
2014,9,48.23076923076923,0.5984669811320755,182.46153846153845,92
2014,10,45.38461538461539,0.5955662073097663,179.15384615384616,93
2014,11,37.57142857142857,0.580718767826583,171.92857142857142,94
2014,12,45.53333333333333,0.5917937927406628,178.26666666666668,95
2014,13,48.0,0.5854765506807866,177.375,96
2014,14,46.8125,0.5983118172790467,178.625,97
2014,15,36.4375,0.5725888324873096,176.0625,98
2014,16,45.8125,0.6015701668302257,179.9375,99
2014,17,41.3125,0.5785536159600998,173.9375,100
2014,18,42.5,0.6330645161290323,178.25,101
2014,19,49.5,0.6158415841584158,176.75,102
2014,20,51.0,0.5343511450381679,182.0,103
2014,21,52.0,0.6097560975609756,172.0,104
2015,1,45.25,0.5895895895895896,176.4375,105
2015,2,47.75,0.5945945945945946,183.125,106
2015,3,48.3125,0.5982230997038499,179.5,107
2015,4,43.53333333333333,0.6021840873634945,183.2,108
2015,5,46.285714285714285,0.6024295969077857,182.28571428571428,109
